Date,Store_Number,Store_Name,Address,City,Zip_Code,County_Number,County,Category,Category_Name,Vendor_Number,Vendor_Name,Item_Number,Item_Description,Pack,Bottle_Volume_(ml),State_Bottle_Cost,State_Bottle_Retail,Bottles_Sold,Sale_(Dollars),Volume_Sold_(Liters),Volume_Sold_(Gallons)
05/22/2014,3437,Scott's Foods,1120 SUNSET DRIVE,NORWALK,50211,91.0,Warren,1081335.0,RASPBERRY SCHNAPPS,65.0,Jim Beam Brands,82836,Dekuyper Raspberry Pucker,12,750,6.3,9.45,3,28.35,2.25,0.59
01/08/2013,3354,Sam's Club 8238 / Davenport,3845 ELMORE AVE.,DAVENPORT,52807,82.0,Scott,1031200.0,VODKA FLAVORED,380.0,Phillips Beverage Company,41604,Uv Grape Vodka,12,750,6.5,9.74,12,116.88,9.0,2.38
05/22/2017,2573,Hy-Vee Food Store / Muscatine,2400 2nd Ave,Muscatine,52761,70.0,MUSCATINE,1082000.0,Imported Cordials & Liqueurs,35.0,BACARDI USA INC,64336,B&b D.o.m.,12,750,19.5,29.25,2,29.25,1.5,0.39
01/12/2012,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 FIRST AVENUE NE,CEDAR RAPIDS,52402,57.0,Linn,1051010.0,AMERICAN GRAPE BRANDIES,115.0,"Constellation Wine Company, Inc.",53213,Paul Masson Grande Amber Brandy,24,200,1.77,2.66,24,63.84,4.8,1.27
07/25/2016,3811,Wal-Mart 1431 / Keokuk,300 North Park Dr,Keokuk,52632,56.0,Lee,1062310.0,SPICED RUM,260.0,Diageo Americas,43338,Captain Morgan Spiced Rum,6,1750,18.0,27.0,12,324.0,21.0,5.55
12/20/2013,2535,Hy-Vee Food Store #1 / WDM,1700 VALLEY WEST DR,WEST DES MOINES,50265,77.0,Polk,1081600.0,WHISKEY LIQUEUR,85.0,Brown-Forman Corporation,86916,Southern Comfort 100 Prf,12,750,11.65,17.47,3,52.41,2.25,0.59
04/10/2017,5244,The Ox & Wren Spirits and Gifts,708 2nd  AVE  SE,Cresco,52136.0,45.0,HOWARD,1031100.0,American Vodkas,255.0,Infinium Spirits,37886,Seagrams Vodka,12,750,5.38,8.07,3,8.07,2.25,0.59
10/12/2017,4810,Kum & Go #518 / Ankeny,3603 NE Otterview Circle,Ankeny,50021.0,77.0,POLK,1031200.0,American Flavored Vodka,205.0,E & J Gallo Winery,40593,New Amsterdam Peach,24,375,3.5,5.25,4,5.25,1.5,0.39
04/02/2013,4257,Broadway Liquor,821 BROADWAY,WATERLOO,50703,7.0,Black Hawk,1051010.0,AMERICAN GRAPE BRANDIES,115.0,"Constellation Wine Company, Inc.",53213,Paul Masson Grande Amber Brandy,24,200,1.77,2.66,24,63.84,4.8,1.27
05/05/2016,5174,Jim's Food   /  Sullivan Ave,"437, Sullivan Ave",Waterloo,50701,7.0,Black Hawk,1032200.0,IMPORTED VODKA - MISC,260.0,Diageo Americas,64510,Ciroc Apple,24,200,5.0,7.5,6,45.0,1.2,0.32
12/27/2012,3912,Smokin' Joe's #14 Tobacco and Liquor,225 EDGEWOOD RD,CEDAR RAPIDS,52405,57.0,Linn,1011300.0,TENNESSEE WHISKIES,85.0,Brown-Forman Corporation,26826,Jack Daniels Old #7 Black Lbl,12,750,13.54,20.31,1,20.31,0.75,0.2
07/06/2016,5045,Central Mart / Hamilton Blvd,800 Hamilton Blvd,Sioux City,51103,97.0,Woodbury,1031080.0,VODKA 80 PROOF,300.0,Mccormick Distilling Company,36904,Mccormick Vodka Pet,24,375,1.8,2.7,48,129.6,18.0,4.76
05/18/2016,3952,Lot-A-Spirits,3780 State St,Bettendorf,52722,82.0,Scott,1032080.0,IMPORTED VODKA,420.0,"Moet Hennessy USA, Inc.",34162,Belvedere Vodka,6,1000,20.63,30.95,6,185.7,6.0,1.59
03/06/2013,4152,Food Land Super Markets / Missouri V,407 W HURON,MISSOURI VALLEY,51555,43.0,Harrison,1081700.0,DISTILLED SPIRITS SPECIALTY,259.0,Heaven Hill Brands,73702,Evan Williams Honey,12,750,7.94,11.91,2,23.82,1.5,0.4
03/09/2015,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77.0,Polk,1032080.0,IMPORTED VODKA,370.0,Pernod Ricard USA/Austin Nichols,34006,Absolut Swedish Vodka 80 Prf,12,750,11.49,17.24,12,206.88,9.0,2.38
08/21/2013,2523,Hy-Vee Food Store / Centerville,414 N 18TH ST,CENTERVILLE,52544,4.0,Appanoose,1051010.0,AMERICAN GRAPE BRANDIES,205.0,E AND J GALLO WINERY,52582,E & J Vsop Superior Reserve,12,750,6.99,10.49,5,52.45,3.75,0.99
04/01/2013,4615,North Side Liquor & Grocery,1303 NORTH FEDERAL AVE,MASON CITY,50401,17.0,Cerro Gordo,1081600.0,WHISKEY LIQUEUR,421.0,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,5,222.9,15.0,3.96
07/18/2012,3400,Last Stop Beverage Shop,2839 E. UNIVERSITY,DES MOINES,50317,77.0,Polk,1081010.0,AMERICAN AMARETTO,434.0,Luxco-St Louis,76487,Paramount Amaretto,12,1000,4.04,6.06,12,72.72,12.0,3.17
09/20/2016,4757,EZ Mart / Bondurant,1111 SE Lincoln St,Bondurant,50035,77.0,POLK,1031000.0,American Vodka,434.0,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,1,64.56,1.75,0.46
10/09/2014,4874,Z's Quickbreak,"201, E WASHINGTON ST",MOUNT PLEASANT,52641,44.0,Henry,1011300.0,TENNESSEE WHISKIES,85.0,Brown-Forman Corporation,26826,Jack Daniels Old #7 Black Lbl,12,750,14.53,21.8,2,43.6,1.5,0.4
04/30/2013,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,82.0,Scott,1011200.0,STRAIGHT BOURBON WHISKIES,461.0,Campari(skyy),22158,Wild Turkey 101,6,1750,25.0,37.49,2,74.98,3.5,0.92
11/07/2013,2587,Hy-Vee Food Store / Johnston,5750 MERLE HAY ROAD,JOHNSTON,50131,77.0,Polk,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35.0,"Bacardi U.S.A., Inc.",43031,Bacardi Gold Rum Mini,12,500,4.74,7.11,1,7.11,0.5,0.13
03/16/2016,2852,CVS Pharmacy #10329 / Merle Hay,2303 MERLE HAY RD,DES MOINES,50310,77.0,Polk,1062310.0,SPICED RUM,260.0,Diageo Americas,43285,Captain Morgan Original Spiced Rum Pet,12,750,9.0,13.5,12,162.0,9.0,2.38
09/09/2015,2621,Hy-Vee Food Store #3 / Sioux City,3301 GORDON DR,SIOUX CITY,51105,97.0,Woodbury,1011100.0,BLENDED WHISKIES,260.0,Diageo Americas,25607,Seagrams 7 Crown Bl Whiskey,12,1000,8.0,12.0,12,144.0,12.0,3.17
02/13/2012,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,52.0,Johnson,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35.0,"Bacardi U.S.A., Inc.",43121,Bacardi Superior Rum Mini,12,500,4.74,7.11,12,85.32,6.0,1.59
08/20/2015,4604,Pit Stop Liquors / Newton,"1324, 1st AVE E",NEWTON,50208,50.0,Jasper,1701100.0,DECANTERS & SPECIALTY PACKAGES,192.0,Sidney Frank Importing Co.,3310,Jagermeister w/Flask,12,750,12.05,18.08,2,36.16,1.5,0.4
08/31/2015,2527,Hy-Vee Food Store #5 / Des Moines,1107 SE ARMY POST RD,DES MOINES,50315,77.0,Polk,1062310.0,SPICED RUM,259.0,Heaven Hill Brands,43026,Admiral Nelson Spiced Rum,12,750,5.78,8.67,12,104.04,9.0,2.38
09/20/2017,5106,Barnes Food Land,622 10th  St,DeWitt,52742,23.0,CLINTON,1012100.0,Canadian Whiskies,115.0,CONSTELLATION BRANDS INC,10548,Black Velvet Toasted Caramel,6,1750,12.99,19.49,4,116.94,7.0,1.84
03/24/2017,4617,Lickety Liquor,2501 HUBBELL AVE,Des Moines,50317,77.0,POLK,1081400.0,American Schnapps,65.0,Jim Beam Brands,82607,Dekuyper Sour Apple,12,1000,7.87,11.81,4,11.81,4.0,1.05
08/02/2012,2620,Hy-Vee / Windsor Heights,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,77.0,Polk,1031080.0,VODKA 80 PROOF,55.0,Sazerac North America,35318,Barton Vodka,6,1750,6.87,10.3,18,185.4,31.5,8.32
01/16/2013,4163,Fareway Stores #461 / Storm Lake,731 SENECA ST,STORM LAKE,50588,11.0,Buena Vista,1012100.0,CANADIAN WHISKIES,115.0,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,10.45,15.67,12,188.04,21.0,5.55
04/23/2015,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,77.0,Polk,1052010.0,IMPORTED GRAPE BRANDIES,65.0,Jim Beam Brands,47786,Courvoisier Vs Cognac,12,750,15.75,23.63,12,283.56,9.0,2.38
02/02/2016,2629,Hy-Vee Food Store #2 / Council Bluff,1745 MADISON AVE,COUNCIL BLUFFS,51503,78.0,Pottawattamie,1081600.0,WHISKEY LIQUEUR,421.0,"Sazerac Co., Inc.",64867,Fireball Cinnamon Whiskey,12,1000,11.34,17.01,36,612.36,36.0,9.51
07/17/2013,3573,Quik Shop Foods / Four M In,405 S MADISON,OTTUMWA,52501,90.0,Wapello,1081600.0,WHISKEY LIQUEUR,85.0,Brown-Forman Corporation,86884,Southern Comfort,24,375,4.54,6.8,6,40.8,2.25,0.59
01/03/2017,2527,Hy-Vee Food Store #5 / Des Moines,1107 SE Army Post Rd,Des Moines,50315.0,77.0,POLK,1062200.0,White Rum,434.0,LUXCO INC,45276,Paramount White Rum,12,750,4.0,6.0,1,72.0,0.75,0.19
05/24/2016,2620,Hy-Vee / Windsor Heights,7101 University Ave,Windsor Heights,50311,77.0,Polk,1062300.0,FLAVORED RUM,35.0,"Bacardi U.S.A., Inc.",43136,Bacardi Limon,12,750,8.26,12.39,2,24.78,1.5,0.4
07/15/2015,3721,Wal-Mart 0913 / Decorah,1798 OLD STAGE RD,DECORAH,52101,96.0,Winneshiek,1062300.0,FLAVORED RUM,260.0,Diageo Americas,43314,Captain Morgan Grapefruit,12,750,9.0,13.5,12,162.0,9.0,2.38
12/21/2013,4744,Walgreens #03875 / Cedar Rapids,2821 1ST AVE SE,CEDAR RAPIDS,52402,57.0,Linn,1081600.0,WHISKEY LIQUEUR,421.0,"Sazerac Co., Inc.",64866,Fireball Cinnamon Whiskey,12,750,8.98,13.47,24,323.28,18.0,4.76
06/04/2012,3932,Main Street Spirits / Mapleton,311 MAIN ST,MAPLETON,51034,67.0,Monona,1011200.0,STRAIGHT BOURBON WHISKIES,461.0,Campari(skyy),22155,Wild Turkey 101 Round,12,375,5.75,8.62,4,34.48,1.5,0.4
08/13/2012,3695,Mrs. B's Liquor,623 S MARION ST,REMSEN,51050,75.0,Plymouth,1051110.0,BLACKBERRY BRANDIES,434.0,Luxco-St Louis,54647,Arrow Blackberry Flav Brandy,12,1000,6.38,9.56,12,114.72,12.0,3.17
06/06/2016,3803,Strawberry Foods and Deli,128 W Mission,Strawberry Point,52076,22.0,Clayton,1011500.0,STRAIGHT RYE WHISKIES,255.0,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.09,27.14,6,162.84,4.5,1.19
04/11/2013,3926,Liquor Downtown / Iowa City,315 S GILBERT ST,IOWA CITY,52240,52.0,Johnson,1031200.0,VODKA FLAVORED,260.0,Diageo Americas,41076,Jeremiah Weed Sweet Tea Vodka,12,750,9.65,14.47,12,173.64,9.0,2.38
02/06/2014,4204,Fareway Stores #025 / Clinton,1350 11TH ST NW,CLINTON,52733,23.0,Clinton,1032080.0,IMPORTED VODKA,35.0,"Bacardi U.S.A., Inc.",34433,Grey Goose Vodka,12,750,18.49,27.74,12,332.88,9.0,2.38
11/21/2014,3461,Hometown Foods / Stuart,611 S DIVISION ST,STUART,50250,1.0,Adair,1051110.0,BLACKBERRY BRANDIES,434.0,Luxco-St Louis,55086,Paramount Blackberry Brandy,12,750,5.48,8.22,3,24.66,2.25,0.59
01/30/2012,3721,Wal-Mart 0913 / Decorah,1798 OLD STAGE RD,DECORAH,52101,96.0,Winneshiek,1031080.0,VODKA 80 PROOF,434.0,Luxco-St Louis,36306,Hawkeye Vodka,12,750,3.25,4.88,12,58.56,9.0,2.38
06/12/2014,3698,Ingersoll Wine Merchants,1300  50TH ST,WEST DES MOINES,50266,77.0,Polk,1011300.0,TENNESSEE WHISKIES,85.0,Brown-Forman Corporation,26821,Jack Daniels Old #7 Black Lbl Mini,12,500,9.06,13.59,1,13.59,0.5,0.13
04/26/2012,3773,Benz Distributing,501 7TH AVE SE,CEDAR RAPIDS,52401,57.0,Linn,1081330.0,PEACH SCHNAPPS,65.0,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.35,11.02,24,264.48,24.0,6.34
08/25/2014,2647,Hy-Vee #7 / Cedar Rapids,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,57.0,Linn,1042100.0,IMPORTED DRY GINS,35.0,"Bacardi U.S.A., Inc.",28233,Bombay Sapphire Gin,12,1000,17.61,26.42,3,79.26,3.0,0.79
04/24/2014,4158,Fareway Stores #409 / Carroll,709 MONTEREY DR,CARROLL,51401,14.0,Carroll,1022100.0,TEQUILA,85.0,Brown-Forman Corporation,87586,El Jimador Silver Tequila,12,750,11.15,16.73,3,50.19,2.25,0.59
12/15/2015,4535,Casey's General Store #2421 / Dubuqu,4003 PERU RD,DUBUQUE,52001,31.0,Dubuque,1012100.0,CANADIAN WHISKIES,115.0,"Constellation Wine Company, Inc.",11776,Black Velvet,12,750,5.23,7.85,12,94.2,9.0,2.38
03/05/2013,4222,Station Mart Liquor and Tobbacco,3594 LAFAYETTE ST,EVANSDALE,50707,7.0,Black Hawk,1011300.0,TENNESSEE WHISKIES,85.0,Brown-Forman Corporation,26826,Jack Daniels Old #7 Black Lbl,12,750,13.54,20.31,4,81.24,3.0,0.79
10/17/2016,4617,Lickety Liquor,2501 HUBBELL AVE,Des Moines,50317.0,77.0,POLK,1051100.0,American Brandies,205.0,E & J Gallo Winery,52591,E & J Vs Brandy Mini,12,500,6.4,9.6,3,9.6,1.5,0.39
05/06/2015,5007,Brother's Market / Denver,1022 SKYLAR ST,DENVER,50622,9.0,Bremer,1012100.0,CANADIAN WHISKIES,55.0,Sazerac North America,12408,Canadian Ltd Whisky,6,1750,9.14,13.71,6,82.26,10.5,2.77
01/06/2014,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,78.0,Pottawattamie,1012100.0,CANADIAN WHISKIES,260.0,Diageo Americas,11298,Crown Royal Canadian Whisky,6,1750,31.5,47.24,6,283.44,10.5,2.77
08/14/2017,2613,Hy-Vee Food Store #1 / Council Bluffs,2323 W Broadway,Council Bluffs,51501,78.0,POTTAWATTA,1032200.0,Imported Flavored Vodka,65.0,Jim Beam Brands,34395,Effen Cucumber,6,750,14.17,21.26,3,127.56,2.25,0.59
08/05/2014,4945,Osage Liquors,"508, MAIN ST",OSAGE,50461,66.0,Mitchell,1012200.0,SCOTCH WHISKIES,55.0,Sazerac North America,8827,Lauder's,12,1000,6.14,9.21,2,18.42,2.0,0.53
03/16/2016,5222,Leo1  /  Cedar Rapids,"1500, 1st  AVE NE",CEDAR RAPIDS,52402,,,1031080.0,VODKA 80 PROOF,434.0,Luxco-St Louis,36302,Hawkeye Vodka,48,200,1.15,1.73,48,83.04,9.6,2.54
04/26/2012,4426,LIQUOR AND GROCERY DEPOT,114 CENTRAL ST N Suite 1,MARSHALLTOWN,50158,64.0,Marshall,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,305.0,MHW Ltd,64000,Absente,12,750,21.67,32.5,2,65.0,1.5,0.4
05/14/2012,2599,Hy-Vee Wine and Spirits / Coralville,1914 8TH STREET,CORALVILLE,52241,52.0,Johnson,1081200.0,CREAM LIQUEURS,260.0,Diageo Americas,68036,Bailey's Original Irish Cream,12,750,13.0,19.49,12,233.88,9.0,2.38
04/26/2017,4269,Tipton Family Foods,610 Cedar St,Tipton,52772,16.0,CEDAR,1051100.0,American Brandies,115.0,CONSTELLATION BRANDS INC,53216,Paul Masson Grande Amber Brandy,12,750,6.29,9.44,3,9.44,2.25,0.59
09/29/2014,4819,Super Stop 2 / Altoona,2635 ADVENTURELAND DR,ALTOONA,50009,77.0,Polk,1011300.0,TENNESSEE WHISKIES,85.0,Brown-Forman Corporation,26824,Jack Daniels Old #7 Black Lbl Square,24,375,6.77,10.16,2,20.32,0.75,0.2
07/03/2017,3825,Shop N Save #2 / E 14th,1372 E 14th St,Des Moines,50316,77.0,POLK,1032200.0,Imported Flavored Vodka,260.0,DIAGEO AMERICAS,64512,Ciroc Apple,12,750,18.49,27.74,1,332.88,0.75,0.19
09/03/2016,3688,Fredericksburg Food Center,100 W Main St,Fredericksburg,50630,19.0,CHICKASAW,1031000.0,American Vodka,55.0,SAZERAC NORTH AMERICA,37938,Skol Vodka,6,1750,7.11,10.67,1,64.02,1.75,0.46
04/11/2012,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,57.0,Linn,1081390.0,IMPORTED SCHNAPPS,421.0,"Sazerac Co., Inc.",69667,Dr. Mcgillicuddy's Vanilla,12,1000,11.0,16.5,96,1584.0,96.0,25.36
07/26/2012,2508,Hy-Vee Food Store #1 / Cedar Rapids,"1843 JOHNSON AVENUE, N.W.",CEDAR RAPIDS,52405,57.0,Linn,1081600.0,WHISKEY LIQUEUR,259.0,Heaven Hill Brands,86796,Southern Host Whiskey Liqueur,12,750,4.83,7.25,12,87.0,9.0,2.38
08/04/2016,4374,Kum & Go #141 / Grimes,1950 Princeton Dr,Grimes,50111,77.0,Polk,1051010.0,AMERICAN GRAPE BRANDIES,205.0,E and J Gallo Winery,52596,E & J Vs,12,750,6.0,9.0,6,54.0,4.5,1.19
03/29/2017,3820,"Charlie's Wine and Spirits,",507 W 19th St,Sioux City,51103.0,97.0,WOODBURY,1082000.0,Imported Cordials & Liqueurs,260.0,DIAGEO AMERICAS,66226,Pimm's Cup No. 1,12,750,10.0,15.0,1,15.0,0.75,0.19
01/17/2017,2549,Hy-Vee Food Store / Indianola,910 N Jefferson,Indianola,50125.0,91.0,WARREN,1901200.0,Special Order Items,421.0,SAZERAC COMPANY  INC,903760,Weller 12yr Bourbon HA,12,750,10.39,15.59,2,15.59,1.5,0.39
02/06/2012,3970,"The Liquor Cabinet, Inc.","835 6 ST, STE 1",NEVADA,50201,85.0,Story,1062310.0,SPICED RUM,260.0,Diageo Americas,43316,Captain Morgan Private Stock Rum,12,750,11.45,17.18,1,17.18,0.75,0.2
11/04/2014,2665,Hy-Vee / Waukee,1005 E HICKMAN RD,WAUKEE,50263,25.0,Dallas,1081312.0,BUTTERSCOTCH SCHNAPPS,65.0,Jim Beam Brands,82786,Dekuyper Buttershots Schnapps,12,750,6.3,9.45,4,37.8,3.0,0.79
10/04/2016,4502,Neighborhood Mart / Waterloo,"2100, Lafayette St",Waterloo,50703,7.0,BLACK HAWK,1041100.0,American Dry Gins,370.0,PERNOD RICARD USA,32233,Seagrams Extra Dry Gin,48,200,1.99,2.99,1,143.52,0.2,0.05
03/11/2014,2651,Hy-Vee / Waverly,1311 4 STREET SW,WAVERLY,50677,9.0,Bremer,1031200.0,VODKA FLAVORED,380.0,Phillips Beverage Company,41360,Uv Pink Lemonade Vodka,12,750,6.5,9.74,12,116.88,9.0,2.38
03/25/2013,4879,Sam's Mini Mart / Morningside Ave Si,4218 MORNINGSIDE AVE,SIOUX CITY,51106,97.0,Woodbury,1022100.0,TEQUILA,395.0,Proximo,89191,Jose Cuervo Especial Reposado Tequila Mini,12,500,11.5,17.25,2,34.5,1.0,0.26
12/17/2015,3858,Harolds Jack N Jill / Davenport,6723 NW BLVD UNIT 2,DAVENPORT,52806,82.0,Scott,1011100.0,BLENDED WHISKIES,65.0,Jim Beam Brands,24457,Kessler Blend Whiskey,12,1000,7.08,10.62,12,127.44,12.0,3.17
08/02/2012,2588,Hy-Vee Food and Drug #6 / Cedar Rapi,4035 MT. VERNON ROAD S.E.,CEDAR RAPIDS,52403,57.0,Linn,1081355.0,STRAWBERRY SCHNAPPS,434.0,Luxco-St Louis,84496,Paramount Strawberry Schnapps,12,750,4.08,6.13,2,12.26,1.5,0.4
12/19/2012,3536,Geno's Liquor,111 S COMMERCIAL AVE,EAGLE GROVE,50533,99.0,Wright,1081600.0,WHISKEY LIQUEUR,85.0,Brown-Forman Corporation,86886,Southern Comfort,12,750,9.36,14.04,2,28.08,1.5,0.4
10/15/2012,3543,Pronto Market,101 MAIN ST,KINGSLEY,51028,75.0,Plymouth,1081600.0,WHISKEY LIQUEUR,85.0,Brown-Forman Corporation,86887,Southern Comfort,12,1000,11.82,17.74,12,212.88,12.0,3.17
07/25/2016,2539,Hy-Vee Food Store / iowa Falls,Highway 65 South,Iowa Falls,50126,42.0,Hardin,1081200.0,CREAM LIQUEURS,305.0,MHW Ltd,73053,Rumchata,6,1000,16.34,24.51,6,147.06,6.0,1.59
04/12/2016,3981,Wal-Mart 1152 / Sioux Center,255 16TH ST SW,SIOUX CENTER,51250,84.0,Sioux,1031080.0,VODKA 80 PROOF,297.0,Laird And Company,35918,Five O'clock Vodka,6,1750,7.2,10.8,12,129.6,21.0,5.55
07/06/2016,2290,Al's Liquors Unlimited,215 West Milwaukee,Storm Lake,50588,11.0,Buena Vista,1032200.0,IMPORTED VODKA - MISC,370.0,Pernod Ricard USA/Austin Nichols,34014,Absolut Apeach,12,750,11.49,17.24,2,34.48,1.5,0.4
03/11/2014,3054,Mcnally's Super Valu,1026 MAIN,GRINNELL,50112,79.0,Poweshiek,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,35.0,"Bacardi U.S.A., Inc.",66836,St. Germain,6,750,19.0,28.5,2,57.0,1.5,0.4
